t,r,u,x1,x2
-7.45,40,37.2010561980512,38.5841624832445,38.8933355835509
-7.39999999999999,40,37.2013165500161,38.5850553604249,38.8940254159368
-7.34999999999999,40,37.20157684082,38.5859476422209,38.8947148345188
-7.3,40,37.2018370686147,38.5868393291763,38.8954038401244
-7.25,40,37.2020972315747,38.5877304218355,38.8960924335677
-7.2,40,37.2023573278979,38.5886209207435,38.8967806156497
-7.14999999999999,40,37.2026173558047,38.5895108264462,38.897468387158
-7.09999999999999,40,37.2028773135381,38.5904001394899,38.8981557488676
-7.05,40,37.2031371993631,38.5912888604217,38.8988427015407
-7,40,37.2033970115668,38.5921769897889,38.8995292459269
-6.95,40,37.2036567484585,38.5930645281398,38.9002153827634
-6.89999999999999,40,37.2039164083695,38.5939514760228,38.9009011127753
-6.84999999999999,40,37.2041759896523,38.5948378339869,38.9015864366755
-6.8,40,37.2044354906806,38.5957236025813,38.9022713551651
-6.75,40,37.2046949098499,38.5966087823559,38.9029558689334
-6.7,40,37.2049542455761,38.5974933738607,38.9036399786583
-6.64999999999999,40,37.2052134962962,38.598377377646,38.9043236850061
-6.59999999999999,40,37.2054726604681,38.5992607942625,38.905006988632
-6.55,40,37.2057317365696,38.600143624261,38.9056898901799
-6.5,40,37.2059907230993,38.6010258681926,38.9063723902829
-6.45,40,37.2062496185756,38.6019075266085,38.9070544895634
-6.39999999999999,40,37.2065084215366,38.6027886000601,38.9077361886331
-6.34999999999999,40,37.206767130541,38.6036690890989,38.908417488093
-6.3,40,37.2070257441661,38.6045489942763,38.9090983885341
-6.25,40,37.2072842610095,38.6054283161441,38.9097788905371
-6.2,40,37.2075426796871,38.6063070552538,38.9104589946724
-6.14999999999999,40,37.2078009988345,38.6071852121571,38.9111387015008
-6.09999999999999,40,37.2080592171059,38.6080627874056,38.9118180115733
-6.05,40,37.2083173331745,38.6089397815506,38.9124969254312
-6,40,37.2085753457315,38.6098161951438,38.9131754436064
-5.95,40,37.2088332534872,38.6106920287364,38.9138535666212
-5.89999999999999,40,37.2090910551691,38.6115672828795,38.9145312949891
-5.84999999999999,40,37.2093487495236,38.6124419581242,38.9152086292143
-5.8,40,37.2096063353148,38.6133160550212,38.9158855697921
-5.75,40,37.209863811324,38.6141895741212,38.9165621172089
-5.7,40,37.2101211763506,38.6150625159745,38.9172382719426
-5.64999999999999,40,37.2103784292107,38.6159348811311,38.9179140344624
-5.59999999999999,40,37.2106355687386,38.6168066701408,38.9185894052293
-5.55,40,37.2108925937847,38.6176778835532,38.9192643846958
-5.5,40,37.2111495032166,38.6185485219173,38.9199389733064
-5.45,40,37.2114062959185,38.619418585782,38.9206131714973
-5.39999999999999,40,37.2116629707913,38.6202880756955,38.9212869796972
-5.34999999999999,40,37.2119195267526,38.621156992206,38.9219603983266
-5.3,40,37.2121759627356,38.6220253358609,38.9226334277985
-5.25,40,37.2124322776899,38.6228931072075,38.9233060685185
-5.2,40,37.2126884705809,38.6237603067923,38.9239783208844
-5.14999999999999,40,37.2129445403899,38.6246269351616,38.9246501852871
-5.09999999999999,40,37.2132004861138,38.6254929928611,38.9253216621101
-5.05,40,37.213456306765,38.626358480436,38.9259927517296
-5,40,37.2137120013706,38.6272233984308,38.9266634545152
-4.95,40,37.2139675689742,38.6280877473896,38.9273337708294
-4.89999999999999,40,37.2142230086329,38.628951527856,38.928003701028
-4.84999999999999,40,37.2144783194194,38.6298147403728,38.9286732454602
-4.8,40,37.2147335004209,38.6306773854823,38.9293424044686
-4.75,40,37.2149885507392,38.6315394637263,38.9300111783895
-4.7,40,37.2152434694912,38.6324009756457,38.9306795675526
-4.64999999999999,40,37.2154982558067,38.6332619217809,38.9313475722816
